2020-09-20 15:43:34,677 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:43:34,679 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:43:34,681 [Worker-45] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:43:34,684 [Worker-45] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:43:57,389 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:43:57,392 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:43:57,394 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:43:57,396 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:44:23,532 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:44:23,538 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-09-20 15:44:23,544 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:44:23,546 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:44:38,031 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:44:38,033 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-09-20 15:44:38,039 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:44:38,042 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:44:50,350 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:44:50,356 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-09-20 15:44:50,360 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:44:50,363 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:45:23,060 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:45:23,064 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2020-09-20 15:45:23,076 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:45:23,080 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:45:34,575 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:45:34,583 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-09-20 15:45:34,587 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:45:34,590 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:45:40,833 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:45:40,841 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-09-20 15:45:40,844 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:45:40,846 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:45:55,435 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:45:55,441 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-09-20 15:45:55,445 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:45:55,447 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:46:03,413 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:46:03,418 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-09-20 15:46:03,421 [Worker-40] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:46:03,423 [Worker-40] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:46:14,930 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:46:14,937 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-09-20 15:46:14,939 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:46:14,941 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:46:20,422 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:46:20,427 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2020-09-20 15:46:20,432 [Worker-36] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:46:20,434 [Worker-36] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:46:44,133 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:46:44,137 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:46:44,141 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:46:44,146 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:47:07,442 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:47:07,444 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:47:07,445 [Worker-46] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:47:07,448 [Worker-46] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:48:11,273 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:48:11,278 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:48:11,282 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:48:11,286 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:48:23,499 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:48:23,501 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:48:23,503 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:48:23,505 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:48:49,133 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:48:49,136 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:48:49,137 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:48:49,140 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:49:50,799 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:49:50,801 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2020-09-20 15:49:50,804 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (MS949 actually) to copy filtered resources, i.e. build is platform dependent!
2020-09-20 15:49:50,805 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
